num_cidades,alfa_utilizado,beta_utilizado,resultado_distancia,tempo_segundos
343,0.58,4.92,1685.54,35.8174
129,1.51,3.56,946.07,21.4624
39,1.23,4.51,489.8,1.4826
35,1.12,1.69,545.34,1.2346
79,0.83,4.31,766.36,5.0744
64,1.76,2.87,676.23,2.8824
106,1.89,3.17,867.03,10.6793
36,1.02,2.6,507.68,0.6801
77,1.55,4.35,729.04,3.726
166,2.39,4.72,1078.89,29.66
78,1.48,4.34,716.44,3.8929
298,0.58,3.82,1594.57,30.1807
45,1.96,4.99,574.33,1.668
142,1.63,3.65,959.68,20.6655
25,0.9,2.82,471.45,0.4137
139,1.68,3.96,1011.12,18.8528
27,0.63,1.63,488.47,0.4964
123,1.52,3.11,926.55,13.4665
150,1.93,3.89,1063.13,22.952
306,1.79,2.49,1537.12,28.9516
380,1.2,3.23,1752.7,41.6605
56,1.99,4.17,643.79,2.669
33,1.23,4.14,550.34,0.849
43,0.68,2.98,615.11,1.5259
36,1.12,4.41,436.74,0.7723
31,2.36,3.78,552.86,0.463
349,1.72,2.22,1682.16,34.7451
147,2.28,3.23,1033.53,22.4408
35,1.95,3.31,560.96,1.0304
105,1.61,3.15,821.73,9.4823
28,2.18,4.9,468.54,0.5565
113,2.31,3.06,905.88,11.8394
25,1.03,4.74,501.05,0.3753
30,1.05,3.71,493.39,0.5993
98,2.36,4.86,793.61,8.6642
319,0.6,1.76,2222.75,32.833
33,1.66,2.86,563.07,0.5302
74,2.29,1.72,703.88,3.4561
20,2.12,2.24,399.96,0.2254
102,1.13,2.27,839.52,10.1963
46,1.74,4.81,569.05,1.1437
367,0.71,3.57,1785.03,43.1947
83,1.71,3.19,805.09,4.6465
239,1.39,2.64,1350.61,18.3093
69,2.28,3.7,698.23,4.7343
221,1.24,2.13,1335.1,16.8412
78,1.25,1.7,833.99,3.9553
34,1.22,1.99,490.95,0.5653
115,1.74,2.25,862.96,12.4607
141,0.71,3.81,1037.55,18.3061
204,1.44,4.0,1226.51,14.7462
157,1.57,2.52,1025.04,26.5277
20,1.09,3.62,371.56,0.2356
94,1.25,3.3,783.79,6.0845
21,2.07,2.86,431.55,0.2456
24,2.36,4.51,435.78,0.4643
377,1.79,4.04,1638.36,42.8683
220,0.84,4.13,1286.47,16.9143
38,1.98,3.57,523.82,1.1513
85,1.35,3.39,749.21,6.3293
68,2.01,2.45,683.58,2.7425
59,1.6,3.88,684.8,1.9382
28,2.45,4.28,419.47,0.5324
132,1.1,2.73,978.86,16.3369
40,1.48,4.89,604.59,0.9123
76,0.71,4.52,712.41,5.6315
33,0.86,2.47,483.04,0.5289
304,2.46,3.06,1531.51,28.8167
175,1.27,4.6,1081.31,33.5223
163,0.52,1.63,1495.8,28.4543
184,1.69,2.13,1171.84,38.6829
367,2.46,4.5,1701.34,39.843
45,2.24,1.81,546.35,1.1276
84,1.34,3.61,735.18,6.019
73,1.59,1.64,758.59,4.0589
36,1.7,3.13,452.27,0.7631
306,1.42,4.96,1516.46,28.8969
22,1.23,2.25,416.05,0.2834
63,1.9,4.92,720.08,2.3548
160,1.74,1.52,1026.78,26.6801
85,1.14,4.03,767.71,4.7296
251,2.42,3.95,1346.27,21.6936
25,1.56,3.66,429.48,0.6339
120,0.86,3.41,927.33,11.6659
107,2.29,3.78,917.84,9.9989
105,1.43,4.87,889.48,9.8002
24,1.95,2.52,394.05,0.3314
34,1.1,3.79,469.68,0.5687
277,1.15,2.61,1489.18,22.7715
26,1.41,2.08,457.64,0.5862
163,0.87,2.09,1194.13,28.1376
52,1.44,2.58,595.52,1.7357
127,1.56,4.91,9818,23.482
97,1.36,4.71,8560,18.7915
20,0.99,1.89,3804,1.1304
164,1.91,3.09,10739,52.4272
161,2.44,2.89,10957,54.452
28,1.12,3.24,5096,1.7349
391,1.62,3.66,16282,87.8316
335,1.69,3.75,15753,62.0989
138,1.01,1.86,10246,29.7149
324,1.68,3.06,15621,58.7638
340,1.15,4.36,16314,60.051
353,0.65,4.86,17030,63.3772
44,1.26,2.62,5281,1.2931
131,0.7,2.65,10258,24.7127
20,0.65,4.04,3262,0.3403
121,1.95,3.01,9220,19.3876
20,2.28,4.84,3547,0.3399
69,1.16,1.59,7119,5.8357
31,0.64,4.02,5035,0.5064
343,0.65,4.25,17233,59.5687
84,0.72,3.48,7696,6.4166
320,2.33,4.74,15440,78.2628
216,1.08,4.64,12499,32.8998
263,1.89,3.42,13948,41.6363
96,1.4,1.75,8777,14.708
93,2.29,2.97,8572,12.5194
105,1.63,2.99,8441,16.0861
228,1.73,2.64,13183,30.3928
256,1.34,3.51,13600,37.3884
46,0.59,2.07,6423,1.484
153,0.82,2.49,11111,44.2634
20,0.92,3.75,4108,0.4716
344,2.35,4.19,16051,75.6728
84,1.84,4.69,7571,8.5321
32,2.07,2.21,5492,1.0003
24,1.92,2.24,4368,0.9544
175,1.5,4.38,11615,50.4628
31,1.36,1.51,4282,0.5537
284,1.95,1.92,14606,43.2732
128,0.89,2.69,9636,30.7059
32,1.04,1.69,4502,0.6379
208,0.52,4.34,12823,24.6778
168,0.62,3.61,11690,49.7977
313,0.64,4.55,15873,49.699
38,0.94,4.59,5596,1.4723
45,0.9,4.92,5557,2.2071
23,1.98,4.47,4402,0.475
357,0.51,4.74,17643,66.002
126,1.64,2.23,9462,26.9728
185,2.28,3.32,11119,62.6268
61,2.4,4.06,6799,4.1812
306,1.76,3.84,14754,48.3582
77,1.67,3.15,6975,5.3269
35,2.26,3.44,5507,1.0729
202,0.54,3.87,12883,23.4441
227,0.52,4.02,13265,28.2815
64,1.04,4.28,6375,3.2328
129,2.22,4.34,10050,23.3948
382,1.14,4.67,17657,73.7772
337,1.36,4.17,16316,59.0098
388,0.83,1.79,21250,73.9904
25,0.67,2.82,3787,0.6163
158,0.66,4.48,11225,38.179
54,0.88,3.67,5815,3.2972
81,0.69,3.18,7516,6.7331
67,0.66,1.75,7535,3.5636
237,1.44,2.18,12811,30.136
59,1.29,4.42,6176,3.326
209,2.09,3.6,12501,24.2839
91,0.7,4.86,8076,10.1546
53,0.88,2.5,6268,2.0208
53,1.8,2.43,6912,1.9185
39,2.38,2.14,5423,0.9185
176,1.73,4.55,11530,53.5921
71,0.72,3.87,7467,4.199
284,1.28,2.55,14933,43.1904
119,0.66,4.86,9461,17.9152
25,1.32,3.97,3862,0.6053
38,2.13,4.4,6006,0.8901
104,1.5,4.56,8474,12.9947
56,1.13,2.87,6587,2.3922
40,0.81,4.0,5403,1.6539
93,1.91,3.61,8584,10.0279
220,0.75,2.2,15431,26.8598
279,1.86,4.58,14431,40.7141
71,2.3,1.58,7652,4.2615
271,2.29,4.98,14797,39.5798
46,1.06,4.16,5761,1.4598
24,1.82,3.75,4503,0.5728
282,1.38,4.92,14278,41.945
34,0.98,2.35,5332,0.9493
45,2.47,4.78,5674,1.3318
161,1.23,3.45,10484,41.2728
20,2.24,2.61,4269,0.6048
153,0.74,2.47,11329,35.3324
77,1.02,1.88,7757,5.1222
55,0.85,3.59,6119,3.6783
21,1.02,3.3,3859,0.6646
270,1.02,2.45,14617,37.6765
127,0.95,1.52,9864,22.7664
103,1.35,2.95,8543,13.197
24,1.77,3.54,4160,0.5734
203,2.4,3.81,11865,23.366
28,0.79,3.02,3944,1.3875
50,2.45,4.53,5733,1.7929
39,1.45,4.97,5441,0.9812
46,1.5,2.14,6468,1.513
25,1.92,3.22,4155,0.6072
203,1.84,1.55,12658,25.1744
21,1.34,2.49,3776,0.3973
20,1.46,4.94,4000,0.3651
20,2.35,4.66,4194,0.3624
57,0.55,4.98,6591,2.3496
242,1.87,4.93,13525,31.3067
368,2.17,2.76,17056,68.4063
151,1.29,4.01,10498,34.0836
93,1.07,3.32,8117,10.3644
63,0.95,3.82,6585,3.2085
85,0.63,4.8,8048,7.7366
42,1.87,2.35,5176,2.0206
177,1.82,4.25,11436,52.0457
50,1.65,1.8,5559,2.0514
330,0.97,1.82,17923,55.4968
34,1.85,1.65,5573,0.6848
39,1.81,2.26,4986,0.9073
129,1.87,1.9,9450,23.3945
21,1.39,2.76,3542,0.3651
55,1.05,4.75,6684,2.2995
137,1.86,3.67,10216,26.7805
181,1.52,1.52,12144,57.1049
25,0.92,2.66,4382,0.6528
254,0.67,2.87,14855,33.3799
221,1.35,4.54,13051,27.1872
106,1.6,4.99,9047,13.8327
236,1.17,1.84,13876,29.4402
75,2.43,3.19,7003,6.0699
34,1.13,1.62,4991,1.1137
89,0.93,2.56,8018,7.478
79,2.1,3.13,7748,7.25
178,1.62,1.74,11166,52.5568
136,1.64,3.94,9724,26.6909
25,1.35,1.79,4541,0.5848
20,1.72,3.79,4203,0.3597
39,1.65,4.43,5691,0.9585
48,1.9,2.73,5870,1.8005
25,1.7,4.9,4044,1.0372
49,1.87,2.82,5609,2.7045
82,1.05,1.7,8065,6.2911
117,1.37,2.71,8720,16.9796
